DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-05-23 16:28:39 | 3         | 1        | 4           | 00:08:00    | 00:08:00.0364338    |
2023-05-23 16:28:40 | 2         | 1        | 4           | 00:08:00    | 00:08:00.0311224    |
2023-05-23 16:28:41 | 1         | 1        | 4           | 00:08:00    | 00:08:00.0326395    |
2023-05-23 16:28:42 | 0         | 1        | 4           | 00:08:00    | 00:08:00.0436545    |
2023-05-23 16:48:43 | 3         | 1        | 4           | 00:08:00    | 00:20:01.3290043    |
2023-05-23 16:49:11 | 0         | 1        | 4           | 00:08:00    | 00:20:26.4668168    |
2023-05-23 16:49:27 | 1         | 1        | 4           | 00:08:00    | 00:20:44.9020785    |
2023-05-23 16:49:30 | 2         | 1        | 4           | 00:08:00    | 00:20:51.9848502    |
2023-05-23 16:50:31 | 0         | 1        | 4           | 00:08:00    | 00:00:50.2084234    |
2023-05-23 16:50:57 | 1         | 1        | 4           | 00:08:00    | 00:01:29.5652971    |
2023-05-23 16:51:07 | 2         | 1        | 4           | 00:08:00    | 00:01:40.5167076    |
2023-05-23 16:51:24 | 3         | 1        | 4           | 00:08:00    | 00:01:58.8637166    |
2023-05-23 16:57:36 | 1         | 1        | 4           | 00:08:00    | 00:06:42.3857591    |
2023-05-23 16:57:42 | 2         | 1        | 4           | 00:08:00    | 00:06:38.8000851    |
2023-05-23 16:58:29 | 0         | 1        | 4           | 00:08:00    | 00:08:00.0467696    |
2023-05-23 16:58:55 | 3         | 1        | 4           | 00:08:00    | 00:07:35.7817526    |
2023-05-23 16:59:05 | 2         | 1        | 4           | 00:08:00    | 00:01:26.9339587    |
2023-05-23 16:59:11 | 2         | 1        | 4           | 00:08:00    | 00:00:09.8129903    |
2023-05-23 16:59:15 | 1         | 1        | 4           | 00:08:00    | 00:01:41.9771288    |
2023-05-23 17:03:17 | 0         | 1        | 4           | 00:08:00    | 00:04:49.5430461    |
2023-05-23 17:03:22 | 1         | 1        | 4           | 00:08:00    | 00:04:09.2200264    |
2023-05-23 17:04:01 | 1         | 1        | 4           | 00:08:00    | 00:00:22.2658614    |
2023-05-23 17:04:52 | 1         | 1        | 4           | 00:08:00    | 00:00:45.8271425    |
2023-05-23 17:04:59 | 1         | 1        | 4           | 00:08:00    | 00:00:09.7417213    |
2023-05-23 17:05:08 | 0         | 1        | 4           | 00:08:00    | 00:01:52.5850795    |
2023-05-23 17:05:13 | 0         | 1        | 4           | 00:08:00    | 00:00:07.2251782    |
2023-05-23 17:05:19 | 2         | 1        | 4           | 00:08:00    | 00:06:12.0371087    |
