DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-05-06 16:36:23 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 16:53:11 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 16:56:14 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 16:56:47 | 0         | 1        | 2           | 00:08:00    | 00:03:38.1124330    |
2023-05-06 16:58:08 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 16:59:06 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 17:00:16 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 17:00:50 | 0         | 1        | 2           | 00:08:00    | 00:02:44.2384372    |
2023-05-06 17:01:23 | 2         | 1        | 2           | 00:08:00    | 00:02:21.2265850    |
2023-05-06 17:01:54 | 3         | 1        | 2           | 00:08:00    | 00:01:43.7977009    |
2023-05-06 17:05:50 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 17:06:44 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 17:07:39 | 1         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 17:08:09 | 0         | 1        | 2           | 00:08:00    | 00:02:21.3385216    |
2023-05-06 17:09:05 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-06 17:09:37 | 1         | 1        | 2           | 00:08:00    | 00:02:00.8869911    |
2023-05-06 17:10:07 | 2         | 1        | 2           | 00:08:00    | 00:03:27.7725334    |
2023-05-06 17:10:38 | 3         | 1        | 2           | 00:08:00    | 00:01:37.6724256    |
2023-05-06 17:11:10 | 0         | 1        | 3           | 00:08:00    | 00:05:21.8426040    |
2023-05-06 17:11:40 | 1         | 1        | 3           | 00:08:00    | 00:04:04.5173370    |
2023-05-06 17:12:11 | 2         | 1        | 3           | 00:08:00    | 00:05:31.3194074    |
2023-05-06 17:12:41 | 3         | 1        | 3           | 00:08:00    | 00:03:41.2284686    |
2023-05-06 17:14:16 | 0         | 1        | 4           | 00:08:00    | 00:08:27.9763892    |
2023-05-06 17:15:09 | 2         | 1        | 4           | 00:08:00    | 00:08:29.2435121    |
2023-05-06 17:16:04 | 1         | 1        | 4           | 00:08:00    | 00:08:28.0892695    |
2023-05-06 17:17:29 | 3         | 1        | 4           | 00:08:00    | 00:08:29.3071600    |
