DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-04-25 11:46:58 | 0         | 2        | 1           | 00:11:00    | 00:00:17    |
2023-04-25 11:47:44 | 2         | 1        | 1           | 00:08:00    | 00:00:18    |
2023-04-25 11:48:12 | 0         | 2        | 2           | 00:11:00    | 00:01:32    |
2023-04-25 11:49:10 | 4         | 1        | 1           | 00:08:00    | 00:00:19    |
2023-04-25 11:50:27 | 2         | 1        | 2           | 00:08:00    | 00:03:01    |
2023-04-25 11:51:18 | 1         | 1        | 1           | 00:08:00    | 00:00:18    |
2023-04-25 11:51:47 | 4         | 1        | 2           | 00:08:00    | 00:02:56    |
2023-04-25 11:52:38 | 3         | 1        | 1           | 00:08:00    | 00:00:18    |
2023-04-25 11:53:06 | 1         | 1        | 2           | 00:08:00    | 00:02:06    |
2023-04-25 11:53:55 | 5         | 2        | 1           | 00:11:00    | 00:00:18    |
2023-04-25 11:54:23 | 3         | 1        | 2           | 00:08:00    | 00:02:04    |
2023-04-25 11:55:02 | 0         | 2        | 3           | 00:11:00    | 00:08:22    |
2023-04-25 11:55:35 | 5         | 2        | 2           | 00:11:00    | 00:01:58    |
2023-04-25 11:56:08 | 2         | 1        | 4           | 00:08:00    | 00:08:42    |
2023-04-25 11:57:03 | 1         | 1        | 3           | 00:08:00    | 00:06:04    |
2023-04-25 11:57:40 | 4         | 1        | 4           | 00:08:00    | 00:08:49    |
2023-04-25 11:58:39 | 3         | 1        | 3           | 00:08:00    | 00:06:19    |
2023-04-25 11:59:15 | 0         | 2        | 4           | 00:11:00    | 00:12:35    |
2023-04-25 12:00:14 | 5         | 2        | 3           | 00:11:00    | 00:06:36    |
2023-04-25 12:00:51 | 1         | 1        | 4           | 00:08:00    | 00:09:52    |
2023-04-25 12:01:28 | 3         | 1        | 4           | 00:08:00    | 00:09:08    |
2023-04-25 12:03:37 | 5         | 2        | 4           | 00:11:00    | 00:09:22    |
