DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-06-16 14:06:06 | 0         | 1        | 2           | 00:08:00    | 00:01:55.5166202    |
2023-06-16 14:06:57 | 1         | 1        | 2           | 00:08:00    | 00:01:56.6915703    |
2023-06-16 14:07:44 | 0         | 1        | 3           | 00:08:00    | 00:03:33.4549788    |
2023-06-16 14:08:36 | 1         | 1        | 3           | 00:08:00    | 00:03:35.1919787    |
2023-06-16 14:09:25 | 0         | 1        | 4           | 00:08:00    | 00:05:14.6477047    |
2023-06-16 14:10:23 | 1         | 1        | 4           | 00:08:00    | 00:05:22.7058965    |
2023-06-16 14:14:06 | 2         | 1        | 2           | 00:08:00    | 00:02:29.3450327    |
2023-06-16 14:14:46 | 3         | 1        | 2           | 00:08:00    | 00:02:12.9616259    |
2023-06-16 14:20:44 | 4         | 1        | 2           | 00:08:00    | 00:02:36.5562912    |
2023-06-16 14:30:11 | 4         | 1        | 4           | 00:08:00    | 00:12:04.3137667    |
2023-06-16 14:31:20 | 5         | 1        | 4           | 00:08:00    | 00:11:48.1167974    |
2023-06-16 14:37:05 | 2         | 1        | 2           | 00:08:00    | 00:02:45.5187166    |
2023-06-16 14:37:49 | 3         | 1        | 2           | 00:08:00    | 00:02:26.7707686    |
2023-06-16 14:38:20 | 2         | 1        | 3           | 00:08:00    | 00:03:59.8811228    |
2023-06-16 14:39:06 | 3         | 1        | 3           | 00:08:00    | 00:03:43.7950667    |
2023-06-16 14:40:29 | 2         | 1        | 4           | 00:08:00    | 00:06:08.7603068    |
2023-06-16 14:41:30 | 3         | 1        | 4           | 00:08:00    | 00:06:08.2513048    |
2023-06-16 14:54:30 | 0         | 1        | 2           | 00:08:00    | 00:02:21.5878521    |
2023-06-16 14:56:08 | 2         | 1        | 2           | 00:08:00    | 00:03:00.3856139    |
2023-06-16 14:57:45 | 4         | 1        | 2           | 00:08:00    | 00:02:56.9040659    |
2023-06-16 14:58:16 | 0         | 1        | 3           | 00:08:00    | 00:06:08.4476495    |
