DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-04-17 10:10:07 | 1         | 1        | 2           | 00:08:00    | 00:02:03    |
2023-04-17 10:10:21 | 3         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-17 10:10:37 | 0         | 1        | 3           | 00:08:00    | 00:04:30    |
2023-04-17 10:10:52 | 2         | 1        | 3           | 00:08:00    | 00:04:12    |
2023-04-17 10:11:09 | 5         | 1        | 2           | 00:08:00    | 00:01:24    |
2023-04-17 10:11:24 | 1         | 1        | 3           | 00:08:00    | 00:03:21    |
2023-04-17 10:11:40 | 4         | 1        | 3           | 00:08:00    | 00:04:24    |
2023-04-17 10:12:08 | 3         | 1        | 3           | 00:08:00    | 00:03:16    |
2023-04-17 10:13:04 | 5         | 1        | 3           | 00:08:00    | 00:03:19    |
2023-04-17 10:14:22 | 0         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-17 10:15:06 | 0         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 10:15:29 | 2         | 1        | 4           | 00:08:00    | 00:08:49    |
2023-04-17 10:16:04 | 4         | 1        | 4           | 00:08:00    | 00:08:47    |
2023-04-17 10:16:37 | 1         | 1        | 4           | 00:08:00    | 00:08:34    |
2023-04-17 10:17:10 | 3         | 1        | 4           | 00:08:00    | 00:08:17    |
2023-04-17 10:17:38 | 0         | 1        | 2           | 00:08:00    | 00:02:37    |
2023-04-17 10:18:02 | 5         | 1        | 4           | 00:08:00    | 00:08:17    |
2023-04-17 10:18:52 | 2         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 10:19:28 | 4         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 10:20:03 | 1         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 10:20:17 | 2         | 1        | 2           | 00:08:00    | 00:01:30    |
2023-04-17 10:20:51 | 3         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 10:21:05 | 4         | 1        | 2           | 00:08:00    | 00:01:42    |
2023-04-17 10:21:45 | 5         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 10:22:00 | 1         | 1        | 2           | 00:08:00    | 00:02:03    |
2023-04-17 10:22:15 | 3         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-17 10:25:58 | 0         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 10:26:31 | 2         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 10:27:07 | 4         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 10:27:23 | 0         | 1        | 2           | 00:08:00    | 00:01:30    |
2023-04-17 10:27:54 | 1         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 10:28:08 | 2         | 1        | 2           | 00:08:00    | 00:01:43    |
2023-04-17 10:28:43 | 3         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 10:28:56 | 4         | 1        | 2           | 00:08:00    | 00:01:55    |
2023-04-17 10:29:36 | 5         | 1        | 1           | 00:08:00    | 00:00:07    |
2023-04-17 10:29:51 | 1         | 1        | 2           | 00:08:00    | 00:02:03    |
2023-04-17 10:30:06 | 3         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-17 10:30:21 | 0         | 1        | 3           | 00:08:00    | 00:04:29    |
2023-04-17 10:30:36 | 2         | 1        | 3           | 00:08:00    | 00:04:11    |
2023-04-17 10:30:52 | 5         | 1        | 2           | 00:08:00    | 00:01:23    |
2023-04-17 10:31:08 | 1         | 1        | 3           | 00:08:00    | 00:03:19    |
2023-04-17 10:31:23 | 4         | 1        | 3           | 00:08:00    | 00:04:22    |
2023-04-17 10:31:53 | 3         | 1        | 3           | 00:08:00    | 00:03:16    |
2023-04-17 10:32:48 | 5         | 1        | 3           | 00:08:00    | 00:03:19    |
2023-04-17 10:34:06 | 0         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-17 10:48:38 | 0         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 10:51:36 | 0         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 10:52:08 | 2         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 10:52:43 | 4         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 10:52:59 | 0         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-17 10:53:30 | 1         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 10:53:44 | 2         | 1        | 2           | 00:08:00    | 00:01:41    |
2023-04-17 10:54:19 | 3         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 10:54:33 | 4         | 1        | 2           | 00:08:00    | 00:01:54    |
2023-04-17 10:55:12 | 5         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 10:55:28 | 1         | 1        | 2           | 00:08:00    | 00:02:03    |
2023-04-17 10:55:42 | 3         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-17 10:55:57 | 0         | 1        | 3           | 00:08:00    | 00:04:27    |
2023-04-17 10:56:12 | 2         | 1        | 3           | 00:08:00    | 00:04:09    |
2023-04-17 10:56:29 | 5         | 1        | 2           | 00:08:00    | 00:01:23    |
2023-04-17 10:56:44 | 1         | 1        | 3           | 00:08:00    | 00:03:20    |
2023-04-17 10:57:00 | 4         | 1        | 3           | 00:08:00    | 00:04:21    |
2023-04-17 10:57:29 | 3         | 1        | 3           | 00:08:00    | 00:03:16    |
2023-04-17 10:58:25 | 5         | 1        | 3           | 00:08:00    | 00:03:19    |
2023-04-17 10:59:44 | 0         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-17 11:00:29 | 0         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 11:00:49 | 2         | 1        | 4           | 00:08:00    | 00:08:47    |
2023-04-17 11:01:23 | 4         | 1        | 4           | 00:08:00    | 00:08:45    |
2023-04-17 11:01:56 | 1         | 1        | 4           | 00:08:00    | 00:08:32    |
2023-04-17 11:02:29 | 3         | 1        | 4           | 00:08:00    | 00:08:15    |
2023-04-17 11:02:57 | 0         | 1        | 2           | 00:08:00    | 00:02:33    |
2023-04-17 11:03:29 | 2         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 11:03:49 | 5         | 1        | 4           | 00:08:00    | 00:08:44    |
2023-04-17 11:04:42 | 4         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 11:04:56 | 2         | 1        | 2           | 00:08:00    | 00:01:32    |
2023-04-17 11:05:29 | 1         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 11:06:03 | 3         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 11:06:16 | 4         | 1        | 2           | 00:08:00    | 00:01:40    |
2023-04-17 11:06:57 | 5         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-17 11:07:12 | 1         | 1        | 2           | 00:08:00    | 00:01:48    |
2023-04-17 11:07:27 | 3         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-17 11:07:42 | 0         | 1        | 3           | 00:08:00    | 00:07:18    |
2023-04-17 11:07:56 | 2         | 1        | 3           | 00:08:00    | 00:04:32    |
2023-04-17 11:08:13 | 5         | 1        | 2           | 00:08:00    | 00:01:23    |
2023-04-17 11:08:26 | 4         | 1        | 3           | 00:08:00    | 00:03:49    |
2023-04-17 11:08:48 | 0         | 1        | 4           | 00:08:00    | 00:08:24    |
2023-04-17 11:09:32 | 0         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-17 11:09:45 | 1         | 1        | 3           | 00:08:00    | 00:04:21    |
2023-04-17 11:10:00 | 3         | 1        | 3           | 00:08:00    | 00:04:02    |
2023-04-17 11:10:16 | 5         | 1        | 3           | 00:08:00    | 00:03:26    |
2023-04-17 11:10:40 | 0         | 1        | 2           | 00:08:00    | 00:01:13    |
