DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-05-11 18:19:10 | 0         | 1        | 2           | 00:08:00    | 00:04:25.7620322    |
2023-05-11 18:19:40 | 1         | 1        | 2           | 00:08:00    | 00:03:07.5316238    |
2023-05-11 18:20:10 | 2         | 1        | 2           | 00:08:00    | 00:04:32.7615936    |
2023-05-11 18:20:40 | 3         | 1        | 2           | 00:08:00    | 00:03:18.5672889    |
2023-05-11 18:21:15 | 0         | 1        | 3           | 00:08:00    | 00:06:30.4592887    |
2023-05-11 18:21:47 | 1         | 1        | 3           | 00:08:00    | 00:05:14.2652457    |
2023-05-11 18:22:20 | 2         | 1        | 3           | 00:08:00    | 00:06:41.8779411    |
2023-05-11 18:22:52 | 3         | 1        | 3           | 00:08:00    | 00:05:29.9388023    |
2023-05-11 18:23:30 | 0         | 1        | 4           | 00:08:00    | 00:08:45.2296737    |
2023-05-11 18:24:23 | 2         | 1        | 4           | 00:08:00    | 00:08:45.1075575    |
2023-05-11 18:25:20 | 1         | 1        | 4           | 00:08:00    | 00:08:47.0073553    |
2023-05-11 18:26:15 | 3         | 1        | 4           | 00:08:00    | 00:08:53.6441729    |
2023-05-11 18:37:32 | 0         | 1        | 2           | 00:08:00    | 00:01:48.5925823    |
2023-05-11 18:38:50 | 2         | 1        | 2           | 00:08:00    | 00:02:19.2239837    |
2023-05-11 18:39:23 | 0         | 1        | 3           | 00:08:00    | 00:03:39.4808952    |
2023-05-11 18:40:45 | 1         | 1        | 2           | 00:08:00    | 00:02:55.3178357    |
2023-05-11 18:41:18 | 2         | 1        | 3           | 00:08:00    | 00:04:47.6682410    |
2023-05-11 18:41:48 | 3         | 1        | 2           | 00:08:00    | 00:02:06.2887135    |
2023-05-11 18:42:22 | 1         | 1        | 3           | 00:08:00    | 00:04:31.9678995    |
2023-05-11 18:43:24 | 3         | 1        | 3           | 00:08:00    | 00:03:42.3861707    |
2023-05-11 18:44:14 | 0         | 1        | 4           | 00:08:00    | 00:08:30.5587811    |
2023-05-11 18:45:08 | 2         | 1        | 4           | 00:08:00    | 00:08:37.5110502    |
