DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-05-04 11:13:55 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:14:19 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:14:44 | 1         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:15:10 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:24:19 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:24:43 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:25:08 | 1         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:25:34 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:25:46 | 0         | 1        | 2           | 00:08:00    | 00:01:28.6597559    |
2023-05-04 11:25:57 | 2         | 1        | 2           | 00:08:00    | 00:01:17.8448626    |
2023-05-04 11:26:19 | 1         | 1        | 2           | 00:08:00    | 00:01:14.3013114    |
2023-05-04 11:26:47 | 3         | 1        | 2           | 00:08:00    | 00:01:18.0080015    |
2023-05-04 11:33:57 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:34:21 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:34:46 | 1         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:35:11 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:35:23 | 0         | 1        | 2           | 00:08:00    | 00:01:28.1314857    |
2023-05-04 11:35:35 | 2         | 1        | 2           | 00:08:00    | 00:01:17.3118449    |
2023-05-04 11:43:08 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:43:32 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:43:57 | 1         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:44:22 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:44:42 | 0         | 1        | 4           | 00:08:00    | 00:01:35.4850284    |
2023-05-04 11:45:08 | 2         | 1        | 2           | 00:08:00    | 00:01:39.7080873    |
2023-05-04 11:45:32 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-04 11:45:42 | 1         | 1        | 2           | 00:08:00    | 00:01:48.1748551    |
2023-05-04 11:45:54 | 3         | 1        | 2           | 00:08:00    | 00:01:36.1718767    |
2023-05-04 11:46:20 | 1         | 1        | 4           | 00:08:00    | 00:02:26.3273685    |
