DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-05-25 15:31:19 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:31:46 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:32:22 | 1         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:32:57 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:36:12 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:36:39 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:37:10 | 4         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:37:40 | 1         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:38:10 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:43:11 | 0         | 1        | 4           | 00:08:00    | 00:07:00.8792765    |
2023-05-25 15:43:57 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:45:09 | 2         | 1        | 4           | 00:08:00    | 00:08:34.0830855    |
2023-05-25 15:45:52 | 4         | 1        | 4           | 00:08:00    | 00:08:47.5893656    |
2023-05-25 15:48:55 | 1         | 1        | 4           | 00:08:00    | 00:11:18.0866463    |
2023-05-25 15:49:36 | 3         | 1        | 4           | 00:08:00    | 00:11:31.3595583    |
2023-05-25 15:50:29 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:51:00 | 4         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:51:31 | 1         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:51:59 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 15:52:19 | 0         | 1        | 4           | 00:08:00    | 00:08:24.8112075    |
2023-05-25 16:10:33 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 16:12:03 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 16:22:50 | 0         | 1        | 4           | 00:08:00    | 00:12:18.1075109    |
2023-05-25 16:23:46 | 2         | 1        | 4           | 00:08:00    | 00:11:46.4898871    |
2023-05-25 16:25:14 | 0         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 16:26:14 | 2         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 16:27:06 | 4         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 16:27:56 | 1         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 16:28:42 | 3         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 16:29:45 | 5         | 1        | 1           | 00:08:00    | 00:00:00    |
2023-05-25 16:30:21 | 5         | 1        | 4           | 00:08:00    | 00:00:43.5770653    |
2023-05-25 16:31:08 | 0         | 1        | 4           | 00:08:00    | 00:05:55.8065228    |
2023-05-25 16:31:51 | 1         | 1        | 4           | 00:08:00    | 00:03:58.2998555    |
2023-05-25 16:32:35 | 2         | 1        | 4           | 00:08:00    | 00:06:25.3967466    |
2023-05-25 16:33:23 | 3         | 1        | 4           | 00:08:00    | 00:04:46.2442970    |
2023-05-25 16:34:27 | 4         | 1        | 4           | 00:08:00    | 00:07:26.9877431    |
