DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-04-26 09:00:26 | 0         | 1        | 1           | 00:08:00    | 00:00:08    |
2023-04-26 09:00:58 | 2         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:01:34 | 4         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:01:50 | 0         | 1        | 2           | 00:08:00    | 00:01:32    |
2023-04-26 09:02:21 | 1         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:02:35 | 2         | 1        | 2           | 00:08:00    | 00:01:42    |
2023-04-26 09:03:10 | 3         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:03:23 | 4         | 1        | 2           | 00:08:00    | 00:01:55    |
2023-04-26 09:04:03 | 5         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 09:04:18 | 1         | 1        | 2           | 00:08:00    | 00:02:03    |
2023-04-26 09:04:33 | 3         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-26 09:04:48 | 0         | 1        | 3           | 00:08:00    | 00:04:30    |
2023-04-26 09:05:03 | 2         | 1        | 3           | 00:08:00    | 00:04:11    |
2023-04-26 09:05:20 | 5         | 1        | 2           | 00:08:00    | 00:01:23    |
2023-04-26 09:05:36 | 1         | 1        | 3           | 00:08:00    | 00:03:20    |
2023-04-26 09:05:51 | 4         | 1        | 3           | 00:08:00    | 00:04:23    |
2023-04-26 09:06:20 | 3         | 1        | 3           | 00:08:00    | 00:03:15    |
2023-04-26 09:07:16 | 5         | 1        | 3           | 00:08:00    | 00:03:19    |
2023-04-26 09:08:33 | 0         | 1        | 4           | 00:08:00    | 00:08:16    |
2023-04-26 09:09:19 | 0         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:09:39 | 2         | 1        | 4           | 00:08:00    | 00:08:47    |
2023-04-26 09:10:16 | 4         | 1        | 4           | 00:08:00    | 00:08:47    |
2023-04-26 09:10:51 | 1         | 1        | 4           | 00:08:00    | 00:08:35    |
2023-04-26 09:11:25 | 3         | 1        | 4           | 00:08:00    | 00:08:21    |
2023-04-26 09:11:56 | 0         | 1        | 2           | 00:08:00    | 00:02:42    |
2023-04-26 09:12:20 | 5         | 1        | 4           | 00:08:00    | 00:08:24    |
2023-04-26 09:13:12 | 2         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:13:48 | 4         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:14:23 | 1         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 09:14:36 | 2         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-26 09:15:11 | 3         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:15:24 | 4         | 1        | 2           | 00:08:00    | 00:01:41    |
2023-04-26 09:16:04 | 5         | 1        | 1           | 00:08:00    | 00:00:07    |
2023-04-26 09:16:20 | 1         | 1        | 2           | 00:08:00    | 00:02:03    |
2023-04-26 09:16:34 | 3         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-26 09:16:50 | 0         | 1        | 3           | 00:08:00    | 00:07:36    |
2023-04-26 09:17:04 | 2         | 1        | 3           | 00:08:00    | 00:03:57    |
2023-04-26 09:17:21 | 5         | 1        | 2           | 00:08:00    | 00:01:24    |
2023-04-26 09:17:40 | 0         | 1        | 4           | 00:08:00    | 00:08:26    |
2023-04-26 09:18:28 | 0         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:18:41 | 1         | 1        | 3           | 00:08:00    | 00:04:24    |
2023-04-26 09:18:56 | 3         | 1        | 3           | 00:08:00    | 00:03:50    |
2023-04-26 09:19:09 | 4         | 1        | 3           | 00:08:00    | 00:05:26    |
2023-04-26 09:19:25 | 5         | 1        | 3           | 00:08:00    | 00:03:27    |
2023-04-26 09:19:41 | 0         | 1        | 2           | 00:08:00    | 00:01:19    |
2023-04-26 09:21:21 | 2         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-26 09:21:58 | 4         | 1        | 4           | 00:08:00    | 00:08:15    |
2023-04-26 09:22:33 | 1         | 1        | 4           | 00:08:00    | 00:08:16    |
2023-04-26 09:23:23 | 2         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:23:40 | 3         | 1        | 4           | 00:08:00    | 00:08:35    |
2023-04-26 09:24:19 | 5         | 1        | 4           | 00:08:00    | 00:08:22    |
2023-04-26 09:24:53 | 2         | 1        | 2           | 00:08:00    | 00:01:36    |
2023-04-26 09:25:29 | 4         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:26:04 | 1         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 09:26:50 | 0         | 1        | 4           | 00:08:00    | 00:08:28    |
2023-04-26 09:29:05 | 0         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 09:29:19 | 1         | 1        | 2           | 00:08:00    | 00:03:21    |
2023-04-26 09:29:52 | 3         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:30:06 | 4         | 1        | 2           | 00:08:00    | 00:04:42    |
2023-04-26 09:30:46 | 5         | 1        | 1           | 00:08:00    | 00:00:07    |
2023-04-26 09:31:03 | 0         | 1        | 2           | 00:08:00    | 00:02:03    |
2023-04-26 09:31:18 | 3         | 1        | 2           | 00:08:00    | 00:01:31    |
2023-04-26 09:31:37 | 2         | 1        | 4           | 00:08:00    | 00:08:20    |
2023-04-26 09:32:13 | 5         | 1        | 2           | 00:08:00    | 00:01:33    |
2023-04-26 09:32:49 | 2         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 09:33:03 | 0         | 1        | 3           | 00:08:00    | 00:04:04    |
2023-04-26 09:33:17 | 1         | 1        | 3           | 00:08:00    | 00:07:19    |
2023-04-26 09:33:31 | 3         | 1        | 3           | 00:08:00    | 00:03:44    |
2023-04-26 09:34:06 | 4         | 1        | 4           | 00:08:00    | 00:08:42    |
2023-04-26 09:47:05 | 1         | 1        | 4           | 00:08:00    | 00:21:07    |
2023-04-26 09:47:37 | 0         | 1        | 4           | 00:08:00    | 00:18:37    |
2023-04-26 09:48:11 | 3         | 1        | 4           | 00:08:00    | 00:18:24    |
2023-04-26 09:48:50 | 5         | 1        | 4           | 00:08:00    | 00:18:11    |
2023-04-26 09:49:27 | 2         | 1        | 4           | 00:08:00    | 00:16:43    |
2023-04-26 09:55:24 | 0         | 1        | 1           | 00:08:00    | 00:00:08    |
2023-04-26 10:00:01 | 2         | 1        | 1           | 00:08:00    | 00:03:36    |
2023-04-26 10:04:04 | 0         | 1        | 4           | 00:08:00    | 00:08:48    |
2023-04-26 10:04:49 | 2         | 1        | 4           | 00:08:00    | 00:08:24    |
2023-04-26 10:05:38 | 0         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 10:06:56 | 2         | 1        | 1           | 00:08:00    | 00:00:44    |
2023-04-26 12:49:06 | 0         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 12:49:38 | 2         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 12:50:14 | 4         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 12:50:30 | 0         | 1        | 2           | 00:08:00    | 00:01:30    |
2023-04-26 12:51:02 | 1         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 12:51:15 | 2         | 1        | 2           | 00:08:00    | 00:01:43    |
2023-04-26 12:51:50 | 3         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 12:52:04 | 4         | 1        | 2           | 00:08:00    | 00:01:55    |
2023-04-26 12:52:44 | 5         | 1        | 1           | 00:08:00    | 00:00:07    |
2023-04-26 12:52:59 | 1         | 1        | 2           | 00:08:00    | 00:02:03    |
2023-04-26 12:53:14 | 3         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-26 12:53:29 | 0         | 1        | 3           | 00:08:00    | 00:04:28    |
2023-04-26 12:53:43 | 2         | 1        | 3           | 00:08:00    | 00:04:11    |
2023-04-26 12:54:00 | 5         | 1        | 2           | 00:08:00    | 00:01:23    |
2023-04-26 12:54:16 | 1         | 1        | 3           | 00:08:00    | 00:03:19    |
2023-04-26 12:54:31 | 4         | 1        | 3           | 00:08:00    | 00:04:23    |
2023-04-26 12:55:00 | 3         | 1        | 3           | 00:08:00    | 00:03:16    |
2023-04-26 12:55:56 | 5         | 1        | 3           | 00:08:00    | 00:03:19    |
2023-04-26 12:57:14 | 0         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-26 12:57:48 | 2         | 1        | 4           | 00:08:00    | 00:08:15    |
2023-04-26 12:58:27 | 4         | 1        | 4           | 00:08:00    | 00:08:18    |
2023-04-26 12:59:18 | 0         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 12:59:36 | 1         | 1        | 4           | 00:08:00    | 00:08:40    |
2023-04-26 13:00:10 | 3         | 1        | 4           | 00:08:00    | 00:08:26    |
2023-04-26 13:00:41 | 0         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-26 13:01:05 | 5         | 1        | 4           | 00:08:00    | 00:08:28    |
2023-04-26 13:01:58 | 2         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 13:02:34 | 4         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:03:09 | 1         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:03:22 | 2         | 1        | 2           | 00:08:00    | 00:01:30    |
2023-04-26 13:03:56 | 3         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:04:10 | 4         | 1        | 2           | 00:08:00    | 00:01:41    |
2023-04-26 13:04:50 | 5         | 1        | 1           | 00:08:00    | 00:00:07    |
2023-04-26 13:05:05 | 1         | 1        | 2           | 00:08:00    | 00:02:02    |
2023-04-26 13:05:20 | 3         | 1        | 2           | 00:08:00    | 00:01:29    |
2023-04-26 13:05:35 | 0         | 1        | 3           | 00:08:00    | 00:06:23    |
2023-04-26 13:05:50 | 2         | 1        | 3           | 00:08:00    | 00:03:58    |
2023-04-26 13:06:06 | 5         | 1        | 2           | 00:08:00    | 00:01:23    |
2023-04-26 13:06:22 | 1         | 1        | 3           | 00:08:00    | 00:03:19    |
2023-04-26 13:06:38 | 4         | 1        | 3           | 00:08:00    | 00:04:09    |
2023-04-26 13:07:07 | 3         | 1        | 3           | 00:08:00    | 00:03:16    |
2023-04-26 13:07:27 | 0         | 1        | 4           | 00:08:00    | 00:08:15    |
2023-04-26 13:08:14 | 0         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:08:32 | 5         | 1        | 3           | 00:08:00    | 00:03:50    |
2023-04-26 13:09:22 | 0         | 1        | 2           | 00:08:00    | 00:01:13    |
2023-04-26 13:10:06 | 2         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-26 13:10:42 | 4         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-26 13:11:18 | 1         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-26 13:12:07 | 2         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 13:12:24 | 3         | 1        | 4           | 00:08:00    | 00:08:33    |
2023-04-26 13:13:03 | 5         | 1        | 4           | 00:08:00    | 00:08:20    |
2023-04-26 13:13:37 | 2         | 1        | 2           | 00:08:00    | 00:01:35    |
2023-04-26 13:14:13 | 4         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 13:14:47 | 1         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:15:22 | 3         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 13:15:35 | 4         | 1        | 2           | 00:08:00    | 00:01:28    |
2023-04-26 13:16:15 | 5         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 13:16:37 | 0         | 1        | 4           | 00:08:00    | 00:08:28    |
2023-04-26 13:17:06 | 1         | 1        | 2           | 00:08:00    | 00:02:24    |
2023-04-26 13:17:38 | 0         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 13:17:53 | 3         | 1        | 2           | 00:08:00    | 00:02:37    |
2023-04-26 13:18:09 | 5         | 1        | 2           | 00:08:00    | 00:02:00    |
2023-04-26 13:18:25 | 1         | 1        | 3           | 00:08:00    | 00:03:43    |
2023-04-26 13:18:39 | 2         | 1        | 3           | 00:08:00    | 00:06:37    |
2023-04-26 13:18:52 | 0         | 1        | 2           | 00:08:00    | 00:01:20    |
2023-04-26 13:19:08 | 3         | 1        | 3           | 00:08:00    | 00:03:52    |
2023-04-26 13:19:21 | 4         | 1        | 3           | 00:08:00    | 00:05:14    |
2023-04-26 13:19:37 | 5         | 1        | 3           | 00:08:00    | 00:03:28    |
2023-04-26 13:20:16 | 2         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-26 13:21:06 | 2         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 13:21:20 | 0         | 1        | 3           | 00:08:00    | 00:03:48    |
2023-04-26 13:22:15 | 2         | 1        | 2           | 00:08:00    | 00:01:15    |
2023-04-26 13:22:39 | 4         | 1        | 4           | 00:08:00    | 00:08:32    |
2023-04-26 13:23:14 | 1         | 1        | 4           | 00:08:00    | 00:08:32    |
2023-04-26 13:23:49 | 3         | 1        | 4           | 00:08:00    | 00:08:33    |
2023-04-26 13:24:28 | 5         | 1        | 4           | 00:08:00    | 00:08:19    |
2023-04-26 13:25:23 | 4         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:25:58 | 1         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 13:26:16 | 0         | 1        | 4           | 00:08:00    | 00:08:44    |
2023-04-26 13:26:47 | 4         | 1        | 2           | 00:08:00    | 00:01:30    |
2023-04-26 13:27:21 | 0         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-26 13:27:35 | 1         | 1        | 2           | 00:08:00    | 00:01:42    |
2023-04-26 13:28:09 | 3         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:28:47 | 5         | 1        | 1           | 00:08:00    | 00:00:07    |
2023-04-26 13:29:04 | 0         | 1        | 2           | 00:08:00    | 00:01:48    |
2023-04-26 13:29:24 | 2         | 1        | 4           | 00:08:00    | 00:08:24    |
2023-04-26 13:29:56 | 3         | 1        | 2           | 00:08:00    | 00:01:53    |
2023-04-26 13:30:31 | 2         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:30:48 | 5         | 1        | 2           | 00:08:00    | 00:02:07    |
2023-04-26 13:31:04 | 0         | 1        | 3           | 00:08:00    | 00:03:49    |
2023-04-26 13:31:18 | 1         | 1        | 3           | 00:08:00    | 00:05:26    |
2023-04-26 13:31:33 | 3         | 1        | 3           | 00:08:00    | 00:03:29    |
2023-04-26 13:31:46 | 2         | 1        | 2           | 00:08:00    | 00:01:20    |
2023-04-26 13:32:01 | 4         | 1        | 3           | 00:08:00    | 00:06:43    |
2023-04-26 13:32:15 | 5         | 1        | 3           | 00:08:00    | 00:03:35    |
2023-04-26 13:33:32 | 4         | 1        | 4           | 00:08:00    | 00:08:14    |
2023-04-26 13:34:07 | 1         | 1        | 4           | 00:08:00    | 00:08:15    |
2023-04-26 13:34:59 | 4         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:35:33 | 1         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:35:51 | 0         | 1        | 4           | 00:08:00    | 00:08:35    |
2023-04-26 13:36:25 | 3         | 1        | 4           | 00:08:00    | 00:08:21    |
2023-04-26 13:37:04 | 5         | 1        | 4           | 00:08:00    | 00:08:23    |
2023-04-26 13:37:37 | 1         | 1        | 2           | 00:08:00    | 00:02:09    |
2023-04-26 13:38:20 | 0         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-26 13:38:37 | 4         | 1        | 2           | 00:08:00    | 00:03:43    |
2023-04-26 13:39:09 | 2         | 1        | 4           | 00:08:00    | 00:08:43    |
2023-04-26 13:39:50 | 0         | 1        | 2           | 00:08:00    | 00:01:34    |
