DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-04-27 09:30:44 | 0         | 1        | 1           | 00:08:00    | 00:00:19    |
2023-04-27 09:31:32 | 2         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-04-27 09:31:55 | 0         | 1        | 2           | 00:08:00    | 00:01:30    |
2023-04-27 09:32:45 | 4         | 1        | 1           | 00:08:00    | 00:00:11    |
2023-04-27 09:33:08 | 2         | 1        | 2           | 00:08:00    | 00:01:45    |
2023-04-27 09:33:57 | 1         | 1        | 1           | 00:08:00    | 00:00:20    |
2023-04-27 09:34:22 | 4         | 1        | 2           | 00:08:00    | 00:01:47    |
2023-04-27 09:35:15 | 3         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-04-27 09:35:39 | 1         | 1        | 2           | 00:08:00    | 00:02:01    |
2023-04-27 09:36:33 | 5         | 1        | 1           | 00:08:00    | 00:00:11    |
2023-04-27 09:36:55 | 3         | 1        | 2           | 00:08:00    | 00:01:49    |
2023-04-27 09:37:18 | 0         | 1        | 3           | 00:08:00    | 00:06:54    |
2023-04-27 09:37:40 | 1         | 1        | 3           | 00:08:00    | 00:04:02    |
2023-04-27 09:38:06 | 5         | 1        | 2           | 00:08:00    | 00:01:45    |
2023-04-27 09:38:30 | 2         | 1        | 3           | 00:08:00    | 00:07:07    |
2023-04-27 09:38:56 | 0         | 1        | 4           | 00:08:00    | 00:08:31    |
2023-04-27 09:39:45 | 2         | 1        | 4           | 00:08:00    | 00:08:23    |
2023-04-27 09:40:58 | 0         | 1        | 1           | 00:08:00    | 00:00:19    |
2023-04-27 09:41:25 | 4         | 1        | 4           | 00:08:00    | 00:08:50    |
2023-04-27 09:42:16 | 1         | 1        | 4           | 00:08:00    | 00:08:38    |
2023-04-27 09:43:01 | 0         | 1        | 2           | 00:08:00    | 00:02:23    |
2023-04-27 09:43:28 | 3         | 1        | 4           | 00:08:00    | 00:08:22    |
2023-04-27 09:44:44 | 2         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-04-27 09:45:12 | 5         | 1        | 4           | 00:08:00    | 00:08:50    |
2023-04-27 09:46:01 | 2         | 1        | 2           | 00:08:00    | 00:01:28    |
2023-04-27 09:46:53 | 4         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-04-27 09:47:45 | 1         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-04-27 09:48:08 | 4         | 1        | 2           | 00:08:00    | 00:01:25    |
2023-04-27 09:49:01 | 3         | 1        | 1           | 00:08:00    | 00:00:11    |
2023-04-27 09:49:27 | 0         | 1        | 4           | 00:08:00    | 00:08:48    |
2023-04-27 09:50:13 | 1         | 1        | 2           | 00:08:00    | 00:02:39    |
2023-04-27 09:51:01 | 0         | 1        | 1           | 00:08:00    | 00:00:19    |
2023-04-27 09:51:24 | 3         | 1        | 2           | 00:08:00    | 00:02:34    |
2023-04-27 09:52:20 | 5         | 1        | 1           | 00:08:00    | 00:00:11    |
2023-04-27 09:52:45 | 0         | 1        | 2           | 00:08:00    | 00:02:03    |
2023-04-27 09:53:11 | 2         | 1        | 4           | 00:08:00    | 00:08:37    |
2023-04-27 09:54:02 | 5         | 1        | 2           | 00:08:00    | 00:01:54    |
2023-04-27 09:54:55 | 2         | 1        | 1           | 00:08:00    | 00:00:10    |
2023-04-27 09:55:21 | 4         | 1        | 4           | 00:08:00    | 00:08:39    |
2023-04-27 09:56:14 | 1         | 1        | 4           | 00:08:00    | 00:08:39    |
