DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-06-14 17:17:00 | 0         | 1        | 2           | 00:08:00    | 00:02:05.5555233    |
2023-06-14 17:17:44 | 2         | 1        | 2           | 00:08:00    | 00:02:19.7513040    |
2023-06-14 17:27:24 | 0         | 1        | 2           | 00:08:00    | 00:01:59.2968249    |
2023-06-14 17:28:49 | 2         | 1        | 2           | 00:08:00    | 00:02:33.0500715    |
2023-06-14 17:57:22 | 0         | 1        | 2           | 00:08:00    | 00:02:42.7287759    |
2023-06-14 17:58:40 | 2         | 1        | 2           | 00:08:00    | 00:03:14.5863562    |
2023-06-14 17:59:11 | 4         | 1        | 2           | 00:08:00    | 00:02:54.9006323    |
2023-06-14 19:23:57 | 0         | 1        | 2           | 00:08:00    | 00:01:56.5379661    |
2023-06-14 19:44:01 | 0         | 1        | 2           | 00:08:00    | 00:01:53.3519428    |
