DateTime            | CookIndex | CookType | CookPriorty | CookSetTime | CookRunTime |
2023-04-24 11:01:07 | 0         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-24 11:05:00 | 2         | 1        | 1           | 00:08:00    | 00:00:02    |
2023-04-24 11:05:14 | 0         | 1        | 2           | 00:08:00    | 00:04:12    |
2023-04-24 11:06:31 | 4         | 1        | 1           | 00:08:00    | 00:00:28    |
2023-04-24 11:06:49 | 2         | 1        | 2           | 00:08:00    | 00:01:52    |
2023-04-24 11:08:13 | 1         | 1        | 1           | 00:08:00    | 00:00:21    |
2023-04-24 11:08:47 | 4         | 1        | 2           | 00:08:00    | 00:02:44    |
2023-04-24 11:09:46 | 3         | 1        | 1           | 00:08:00    | 00:00:11    |
2023-04-24 11:10:29 | 0         | 1        | 4           | 00:08:00    | 00:09:27    |
2023-04-24 11:11:37 | 1         | 1        | 2           | 00:08:00    | 00:03:45    |
2023-04-24 11:12:08 | 0         | 1        | 1           | 00:08:00    | 00:00:05    |
2023-04-24 11:12:24 | 3         | 1        | 2           | 00:08:00    | 00:02:49    |
2023-04-24 11:13:03 | 5         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-24 11:13:21 | 2         | 1        | 4           | 00:08:00    | 00:08:24    |
2023-04-24 11:13:49 | 0         | 1        | 2           | 00:08:00    | 00:01:46    |
2023-04-24 11:14:22 | 2         | 1        | 1           | 00:08:00    | 00:00:06    |
2023-04-24 11:14:42 | 4         | 1        | 4           | 00:08:00    | 00:08:39    |
2023-04-24 13:05:25 | 0         | 2        | 1           | 00:11:00    | 00:00:11    |
2023-04-24 13:06:03 | 2         | 2        | 1           | 00:11:00    | 00:00:08    |
2023-04-24 13:06:46 | 4         | 2        | 1           | 00:11:00    | 00:00:05    |
2023-04-24 13:07:02 | 0         | 2        | 2           | 00:11:00    | 00:01:48    |
2023-04-24 13:07:42 | 1         | 2        | 1           | 00:11:00    | 00:00:05    |
2023-04-24 13:08:00 | 2         | 2        | 2           | 00:11:00    | 00:02:05    |
2023-04-24 13:08:40 | 3         | 2        | 1           | 00:11:00    | 00:00:05    |
2023-04-24 13:09:04 | 1         | 2        | 2           | 00:11:00    | 00:01:28    |
2023-04-24 13:13:35 | 0         | 2        | 1           | 00:11:00    | 00:00:07    |
